ID_envio,Nombre_Producto,ID_Camion,Zona_Destino,KM_Recorridos,Tipo_Entrega,Costo_Envio
2,Licuadora,6,avellaneda,69,2,3525.00
14,Pendrive,1,avellaneda,43,1,4720.00
23,Plancha,1,avellaneda,82,2,4175.00
26,Pendrive,5,avellaneda,56,1,3220.00
36,Plancha,4,avellaneda,40,1,4420.00
37,Licuadora,5,avellaneda,37,1,4120.00
38,Pendrive,2,avellaneda,97,1,5270.00
40,Plancha,3,avellaneda,21,0,2350.00
45,Radio,7,avellaneda,97,2,4925.00
48,Pendrive,5,avellaneda,64,2,3275.00
52,Plancha,1,avellaneda,70,2,3575.00
55,Televisor,5,avellaneda,84,0,4450.00
63,Pendrive,6,avellaneda,45,2,4575.00
65,Pendrive,6,avellaneda,43,2,4375.00
82,Televisor,3,avellaneda,48,0,5050.00
86,Pendrive,2,avellaneda,97,2,4925.00
87,Radio,7,avellaneda,98,0,5150.00
100,Cocina,7,avellaneda,71,2,3625.00
101,Lavarropas,4,avellaneda,75,0,4000.00
104,Cocina,6,avellaneda,106,1,5720.00
118,Cocina,4,avellaneda,11,0,1350.00
124,Radio,6,avellaneda,32,2,3275.00
125,Cocina,5,avellaneda,72,0,3850.00
129,Lavarropas,3,avellaneda,21,0,2350.00
135,Plancha,6,avellaneda,120,1,6420.00
138,Plancha,7,avellaneda,114,0,5950.00
141,Pendrive,5,avellaneda,86,0,4550.00
151,Cocina,7,avellaneda,114,0,5950.00
158,Licuadora,6,avellaneda,81,0,4300.00
161,Lavarropas,5,avellaneda,114,2,5775.00
162,Pendrive,5,avellaneda,96,1,5220.00
168,Plancha,6,avellaneda,53,0,2900.00
169,Cocina,7,avellaneda,86,2,4375.00
173,Licuadora,7,avellaneda,23,2,2375.00
177,Plancha,3,avellaneda,10,2,1075.00
186,Televisor,2,avellaneda,22,0,2450.00
190,Plancha,2,avellaneda,55,1,3170.00
192,Licuadora,6,avellaneda,98,2,4975.00
197,Cocina,4,avellaneda,56,0,3050.00
199,Radio,7,avellaneda,90,2,4575.00
