ID_envio,Nombre_Producto,ID_Camion,Zona_Destino,KM_Recorridos,Tipo_Entrega,Costo_Envio
6,Radio,2,bandfield,25,2,2575.00
10,Radio,4,bandfield,25,0,2750.00
11,Radio,4,bandfield,75,1,4170.00
12,Plancha,3,bandfield,36,1,4020.00
13,Radio,4,bandfield,53,2,2725.00
21,Licuadora,2,bandfield,85,0,4500.00
22,Licuadora,6,bandfield,15,0,1750.00
27,Pendrive,7,bandfield,112,2,5675.00
28,Lavarropas,1,bandfield,104,1,5620.00
30,Radio,3,bandfield,13,2,1375.00
42,Radio,1,bandfield,94,0,4950.00
44,Cocina,3,bandfield,15,2,1575.00
50,Lavarropas,2,bandfield,92,2,4675.00
51,Lavarropas,6,bandfield,83,2,4225.00
53,Radio,2,bandfield,33,1,3720.00
54,Plancha,2,bandfield,26,2,2675.00
56,Televisor,7,bandfield,104,2,5275.00
57,Lavarropas,2,bandfield,19,2,1975.00
60,Radio,5,bandfield,63,2,3225.00
70,Plancha,2,bandfield,103,0,5400.00
74,Televisor,4,bandfield,47,2,4775.00
75,Plancha,7,bandfield,26,0,2850.00
83,Lavarropas,1,bandfield,19,2,1975.00
84,Cocina,4,bandfield,90,0,4750.00
88,Cocina,1,bandfield,52,2,2675.00
90,Plancha,1,bandfield,10,1,1420.00
91,Cocina,2,bandfield,21,2,2175.00
92,Licuadora,1,bandfield,75,1,4170.00
94,Radio,5,bandfield,83,0,4400.00
95,Pendrive,7,bandfield,108,0,5650.00
103,Televisor,3,bandfield,61,2,3125.00
106,Plancha,1,bandfield,77,2,3925.00
111,Televisor,7,bandfield,95,2,4825.00
114,Cocina,1,bandfield,76,1,4220.00
117,Lavarropas,2,bandfield,109,1,5870.00
119,Televisor,2,bandfield,104,1,5620.00
120,Televisor,4,bandfield,38,2,3875.00
130,Lavarropas,3,bandfield,120,2,6075.00
131,Radio,7,bandfield,44,1,4820.00
132,Licuadora,7,bandfield,102,1,5520.00
134,Radio,5,bandfield,77,0,4100.00
136,Pendrive,5,bandfield,61,0,3300.00
145,Plancha,1,bandfield,71,2,3625.00
146,Cocina,4,bandfield,60,2,3075.00
152,Cocina,7,bandfield,35,2,3575.00
160,Pendrive,2,bandfield,109,1,5870.00
165,Cocina,1,bandfield,77,2,3925.00
170,Licuadora,5,bandfield,45,1,4920.00
180,Lavarropas,3,bandfield,118,1,6320.00
183,Licuadora,1,bandfield,93,2,4725.00
185,Lavarropas,6,bandfield,90,0,4750.00
194,Pendrive,3,bandfield,33,1,3720.00
195,Televisor,6,bandfield,15,2,1575.00
