ID_envio,Nombre_Producto,ID_Camion,Zona_Destino,KM_Recorridos,Tipo_Entrega,Costo_Envio
4,Televisor,1,caba,90,2,4575.00
5,Pendrive,4,caba,58,0,3150.00
7,Radio,2,caba,69,2,3525.00
24,Cocina,7,caba,83,1,4570.00
29,Lavarropas,4,caba,116,0,6050.00
32,Cocina,1,caba,11,1,1520.00
33,Cocina,4,caba,19,2,1975.00
41,Televisor,5,caba,66,1,3720.00
46,Radio,6,caba,91,1,4970.00
47,Cocina,3,caba,64,2,3275.00
58,Radio,6,caba,67,0,3600.00
62,Plancha,3,caba,103,0,5400.00
64,Licuadora,5,caba,75,2,3825.00
71,Lavarropas,6,caba,99,2,5025.00
72,Radio,7,caba,89,2,4525.00
77,Licuadora,7,caba,68,0,3650.00
80,Plancha,1,caba,118,2,5975.00
81,Licuadora,7,caba,91,1,4970.00
85,Plancha,7,caba,76,2,3875.00
93,Pendrive,1,caba,17,0,1950.00
97,Radio,3,caba,109,2,5525.00
99,Cocina,2,caba,85,1,4670.00
102,Cocina,5,caba,77,2,3925.00
113,Cocina,2,caba,60,2,3075.00
115,Licuadora,1,caba,114,0,5950.00
121,Pendrive,3,caba,104,2,5275.00
126,Cocina,3,caba,94,1,5120.00
143,Plancha,1,caba,62,0,3350.00
149,Lavarropas,6,caba,94,1,5120.00
163,Pendrive,2,caba,51,2,2625.00
166,Cocina,1,caba,52,2,2675.00
178,Cocina,2,caba,85,2,4325.00
181,Lavarropas,2,caba,103,1,5570.00
187,Televisor,2,caba,73,1,4070.00
193,Televisor,7,caba,31,0,3350.00
198,Cocina,7,caba,59,0,3200.00
