ID_envio,Nombre_Producto,ID_Camion,Zona_Destino,KM_Recorridos,Tipo_Entrega,Costo_Envio
8,Radio,5,quilmes,79,1,4370.00
9,Lavarropas,4,quilmes,47,2,4775.00
15,Televisor,2,quilmes,90,0,4750.00
16,Plancha,1,quilmes,68,1,3820.00
18,Licuadora,5,quilmes,84,1,4620.00
19,Radio,7,quilmes,90,1,4920.00
20,Radio,3,quilmes,40,2,4075.00
31,Radio,3,quilmes,42,0,4450.00
35,Lavarropas,6,quilmes,98,0,5150.00
43,Cocina,7,quilmes,104,2,5275.00
49,Pendrive,4,quilmes,59,1,3370.00
67,Cocina,4,quilmes,96,2,4875.00
78,Pendrive,4,quilmes,102,2,5175.00
79,Pendrive,6,quilmes,59,1,3370.00
89,Licuadora,7,quilmes,37,1,4120.00
96,Televisor,2,quilmes,117,1,6270.00
98,Pendrive,2,quilmes,84,1,4620.00
107,Pendrive,3,quilmes,76,2,3875.00
108,Pendrive,6,quilmes,115,0,6000.00
110,Plancha,1,quilmes,106,2,5375.00
122,Radio,7,quilmes,55,0,3000.00
128,Cocina,7,quilmes,111,0,5800.00
139,Televisor,7,quilmes,117,0,6100.00
140,Lavarropas,6,quilmes,111,2,5625.00
142,Pendrive,2,quilmes,34,0,3650.00
147,Televisor,7,quilmes,113,1,6070.00
150,Radio,1,quilmes,92,1,5020.00
153,Pendrive,4,quilmes,73,2,3725.00
154,Radio,2,quilmes,11,1,1520.00
164,Lavarropas,1,quilmes,19,2,1975.00
167,Radio,3,quilmes,96,0,5050.00
171,Televisor,6,quilmes,38,2,3875.00
174,Plancha,3,quilmes,99,1,5370.00
175,Cocina,1,quilmes,87,2,4425.00
176,Licuadora,3,quilmes,61,0,3300.00
188,Televisor,5,quilmes,114,1,6120.00
189,Licuadora,5,quilmes,59,2,3025.00
191,Cocina,7,quilmes,75,0,4000.00
200,Televisor,1,quilmes,36,2,3675.00
